userId,itemId,rating,timestamp
1,495,4,2025-09-25 22:07:47.230214
1,444,2,2022-01-16 22:07:47.231919
1,34,3,2025-01-06 22:07:47.231958
1,480,5,2024-09-13 22:07:47.231978
1,383,5,2025-08-14 22:07:47.231995
1,210,1,2025-06-25 22:07:47.232010
1,113,2,2025-10-04 22:07:47.232025
1,462,4,2024-12-06 22:07:47.232041
1,265,4,2025-07-25 22:07:47.232056
1,426,4,2025-08-17 22:07:47.232070
1,447,1,2024-12-23 22:07:47.232083
1,183,4,2024-12-25 22:07:47.232097
1,70,1,2024-10-11 22:07:47.232111
1,227,4,2025-04-26 22:07:47.232124
1,293,4,2024-09-04 22:07:47.232137
1,307,4,2025-04-18 22:07:47.232150
1,125,5,2024-12-30 22:07:47.232163
1,14,4,2025-02-05 22:07:47.232177
1,149,4,2025-08-18 22:07:47.232190
1,456,4,2024-04-30 22:07:47.232203
1,184,5,2025-07-17 22:07:47.232221
1,423,4,2025-08-22 22:07:47.232234
1,292,5,2023-08-07 22:07:47.232247
1,422,4,2024-11-16 22:07:47.232260
1,31,4,2025-04-12 22:07:47.232274
1,464,2,2025-06-09 22:07:47.232287
1,78,4,2025-02-24 22:07:47.232300
1,180,4,2024-03-19 22:07:47.232314
1,148,3,2025-05-23 22:07:47.232326
1,240,4,2025-02-12 22:07:47.232340
1,5,4,2025-08-05 22:07:47.232353
1,192,3,2025-03-20 22:07:47.232366
1,269,4,2025-08-30 22:07:47.232379
1,24,4,2025-06-09 22:07:47.232393
1,300,4,2024-10-10 22:07:47.232406
1,485,3,2025-10-05 22:07:47.232419
1,51,5,2025-04-03 22:07:47.232432
1,4,4,2024-10-09 22:07:47.232445
1,263,5,2023-12-30 22:07:47.232459
1,172,4,2025-05-27 22:07:47.232473
1,472,4,2025-09-05 22:07:47.232486
1,439,4,2025-08-05 22:07:47.232499
1,163,5,2025-04-16 22:07:47.232512
1,363,4,2025-07-13 22:07:47.232526
1,89,2,2025-10-02 22:07:47.232539
1,27,4,2025-09-21 22:07:47.232552
2,445,4,2024-03-30 22:07:47.232638
2,494,4,2025-09-23 22:07:47.232657
2,243,4,2025-05-02 22:07:47.232672
2,410,4,2024-10-15 22:07:47.232685
2,20,5,2025-04-02 22:07:47.232699
2,81,4,2025-08-11 22:07:47.232712
2,449,2,2025-07-13 22:07:47.232725
2,124,4,2025-02-25 22:07:47.232738
2,261,4,2025-09-24 22:07:47.232751
